Abbreviation,GrandPrix,Year,Q1,Q2,Q3,Q1_gap,Q2_gap,Q3_gap
KOV,Spanish Grand Prix,2008,1:21.430,1:20.817,1:22.231,0.7290000000000134,0.2330000000000041,0.41799999999999216
WEB,Spanish Grand Prix,2008,1:21.494,1:20.984,1:22.429,0.7930000000000064,0.4000000000000057,0.6159999999999997
TRU,Spanish Grand Prix,2008,1:21.158,1:20.907,1:22.529,0.45700000000000784,0.3229999999999933,0.715999999999994
HEI,Spanish Grand Prix,2008,1:21.466,1:20.815,1:22.542,0.7650000000000148,0.23099999999999454,0.7289999999999992
PIQ,Spanish Grand Prix,2008,1:21.409,1:20.894,1:22.699,0.7079999999999984,0.3100000000000023,0.8859999999999957
BAR,Spanish Grand Prix,2008,1:21.548,1:21.049,\N,0.8470000000000084,0.4650000000000034,0.8569800000000072
NAK,Spanish Grand Prix,2008,1:21.690,1:21.117,\N,0.9890000000000043,0.5330000000000013,0.9263400000000104
BUT,Spanish Grand Prix,2008,1:21.757,1:21.211,\N,1.0560000000000116,0.6269999999999953,1.0222200000000043
GLO,Spanish Grand Prix,2008,1:21.427,1:21.230,\N,0.7259999999999991,0.6460000000000008,1.0416000000000025
ROS,Spanish Grand Prix,2008,1:21.472,1:21.349,\N,0.771000000000015,0.7650000000000006,1.1629800000000046
BOU,Spanish Grand Prix,2008,1:21.540,1:21.724,\N,0.8389999999999986,1.1400000000000006,1.5454799999999977
COU,Spanish Grand Prix,2008,1:21.810,\N,\N,1.1090000000000089,3.6803000000000026,4.136586000000008
VET,Spanish Grand Prix,2008,1:22.108,\N,\N,1.4070000000000107,3.98724,4.449664800000008
FIS,Spanish Grand Prix,2008,1:22.516,\N,\N,1.8149999999999977,4.4074799999999925,4.878309599999994
SUT,Spanish Grand Prix,2008,1:23.224,\N,\N,2.5230000000000103,5.136719999999997,5.622134399999993
DAV,Spanish Grand Prix,2008,1:23.318,\N,\N,2.6170000000000044,5.233539999999991,5.720890799999992
SAT,Spanish Grand Prix,2008,1:23.496,\N,\N,2.7950000000000017,5.416879999999992,5.907897599999998
MAS,Turkish Grand Prix,2008,1:25.994,1:26.192,1:27.617,0.0,0.14200000000001012,0.0
KOV,Turkish Grand Prix,2008,1:26.736,1:26.290,1:27.808,0.7420000000000044,0.23999999999999488,0.1909999999999883
HAM,Turkish Grand Prix,2008,1:26.192,1:26.477,1:27.923,0.1980000000000075,0.4270000000000067,0.3059999999999974
RAI,Turkish Grand Prix,2008,1:26.457,1:26.050,1:27.936,0.46299999999999386,0.0,0.3190000000000026
KUB,Turkish Grand Prix,2008,1:26.761,1:26.129,1:28.390,0.7669999999999959,0.07900000000000773,0.7729999999999961
WEB,Turkish Grand Prix,2008,1:26.773,1:26.466,1:28.417,0.7789999999999964,0.416000000000011,0.7999999999999972
ALO,Turkish Grand Prix,2008,1:26.836,1:26.522,1:28.422,0.8419999999999987,0.4719999999999942,0.8049999999999926
TRU,Turkish Grand Prix,2008,1:26.695,1:26.822,1:28.836,0.7009999999999934,0.7720000000000056,1.218999999999994
HEI,Turkish Grand Prix,2008,1:27.107,1:27.607,1:28.882,1.1129999999999995,1.5570000000000022,1.2650000000000006
COU,Turkish Grand Prix,2008,1:26.939,1:26.520,1:29.959,0.9449999999999932,0.46999999999999886,2.3419999999999987
ROS,Turkish Grand Prix,2008,1:27.367,1:27.012,\N,1.3730000000000047,0.9620000000000033,1.135239999999996
BAR,Turkish Grand Prix,2008,1:27.355,1:27.219,\N,1.3610000000000042,1.168999999999997,1.3463799999999964
BUT,Turkish Grand Prix,2008,1:27.428,1:27.298,\N,1.4339999999999975,1.2480000000000047,1.426959999999994
VET,Turkish Grand Prix,2008,1:27.442,1:27.412,\N,1.4480000000000075,1.362000000000009,1.5432399999999973
GLO,Turkish Grand Prix,2008,1:26.614,1:27.806,\N,0.6200000000000045,1.7560000000000002,1.9451199999999886
NAK,Turkish Grand Prix,2008,1:27.547,\N,\N,1.5529999999999973,4.123410000000007,4.359878199999997
PIQ,Turkish Grand Prix,2008,1:27.568,\N,\N,1.573999999999998,4.145040000000009,4.3819408000000095
BOU,Turkish Grand Prix,2008,1:27.621,\N,\N,1.6269999999999953,4.199629999999999,4.437622599999997
FIS,Turkish Grand Prix,2008,1:27.807,\N,\N,1.8130000000000024,4.391210000000001,4.633034199999997
SUT,Turkish Grand Prix,2008,1:28.325,\N,\N,2.331000000000003,4.924750000000003,5.177244999999999
MAS,Monaco Grand Prix,2008,1:15.190,1:15.110,1:15.787,0.0,0.0,0.0
RAI,Monaco Grand Prix,2008,1:15.717,1:15.404,1:15.815,0.527000000000001,0.29399999999999693,0.027999999999991587
HAM,Monaco Grand Prix,2008,1:15.582,1:15.322,1:15.839,0.3919999999999959,0.2120000000000033,0.0519999999999925
KOV,Monaco Grand Prix,2008,1:15.295,1:15.389,1:16.165,0.10500000000000398,0.27899999999999636,0.3779999999999859
KUB,Monaco Grand Prix,2008,1:15.977,1:15.483,1:16.171,0.7870000000000061,0.37300000000000466,0.38399999999998613
ROS,Monaco Grand Prix,2008,1:15.935,1:15.287,1:16.548,0.7450000000000045,0.1770000000000067,0.7609999999999957
ALO,Monaco Grand Prix,2008,1:16.646,1:15.827,1:16.852,1.456000000000003,0.7169999999999987,1.0649999999999977
TRU,Monaco Grand Prix,2008,1:16.306,1:15.598,1:17.203,1.1159999999999997,0.48799999999999955,1.4159999999999968
WEB,Monaco Grand Prix,2008,1:16.074,1:15.745,1:17.343,0.8840000000000003,0.6350000000000051,1.5559999999999974
COU,Monaco Grand Prix,2008,1:16.086,1:15.839,\N,0.8960000000000008,0.7289999999999992,1.5687799999999896
GLO,Monaco Grand Prix,2008,1:16.285,1:15.907,\N,1.0949999999999989,0.796999999999997,1.6381399999999928
BUT,Monaco Grand Prix,2008,1:16.259,1:16.101,\N,1.0690000000000026,0.9909999999999997,1.8360199999999907
HEI,Monaco Grand Prix,2008,1:16.650,1:16.455,\N,1.460000000000008,1.3449999999999989,2.197099999999992
NAK,Monaco Grand Prix,2008,1:16.756,1:16.479,\N,1.5660000000000025,1.3689999999999998,2.221579999999989
BAR,Monaco Grand Prix,2008,1:16.208,1:16.537,\N,1.0180000000000007,1.4270000000000067,2.2807399999999944
BOU,Monaco Grand Prix,2008,1:16.806,\N,\N,1.6159999999999997,4.00018,4.905383599999993
PIQ,Monaco Grand Prix,2008,1:16.933,\N,\N,1.742999999999995,4.130989999999997,5.038809799999996
VET,Monaco Grand Prix,2008,1:16.955,\N,\N,1.7650000000000006,4.153649999999999,5.061922999999993
SUT,Monaco Grand Prix,2008,1:17.225,\N,\N,2.0349999999999966,4.431749999999994,5.345584999999986
FIS,Monaco Grand Prix,2008,1:17.823,\N,\N,2.6330000000000098,5.047690000000017,5.973843800000012
HAM,Canadian Grand Prix,2008,1:16.909,1:17.034,1:17.886,0.0,0.0,0.0
KUB,Canadian Grand Prix,2008,1:17.471,1:17.679,1:18.498,0.5620000000000118,0.6450000000000102,0.612000000000009
RAI,Canadian Grand Prix,2008,1:17.301,1:17.364,1:18.735,0.3920000000000101,0.3300000000000125,0.8490000000000038
ALO,Canadian Grand Prix,2008,1:17.415,1:17.488,1:18.746,0.5060000000000002,0.45400000000000773,0.8599999999999994
ROS,Canadian Grand Prix,2008,1:17.991,1:17.891,1:18.844,1.0820000000000078,0.8569999999999993,0.9579999999999984
MAS,Canadian Grand Prix,2008,1:17.231,1:17.353,1:19.048,0.32200000000000273,0.3190000000000168,1.1620000000000061
KOV,Canadian Grand Prix,2008,1:17.287,1:17.684,1:19.089,0.3780000000000143,0.6500000000000057,1.203000000000003
HEI,Canadian Grand Prix,2008,1:18.082,1:17.781,1:19.633,1.1730000000000018,0.7470000000000141,1.7469999999999999
BAR,Canadian Grand Prix,2008,1:18.256,1:18.020,1:20.848,1.3470000000000084,0.9860000000000042,2.9620000000000033
WEB,Canadian Grand Prix,2008,1:17.582,1:17.523,\N,0.6730000000000018,0.4890000000000043,1.1874600000000015
GLO,Canadian Grand Prix,2008,1:18.321,1:18.031,\N,1.4120000000000061,0.9970000000000141,1.7056200000000104
NAK,Canadian Grand Prix,2008,1:17.638,1:18.062,\N,0.7290000000000134,1.0280000000000058,1.73724
COU,Canadian Grand Prix,2008,1:18.168,1:18.238,\N,1.2590000000000146,1.2040000000000077,1.9167600000000107
TRU,Canadian Grand Prix,2008,1:18.039,1:18.327,\N,1.1300000000000097,1.2930000000000064,2.007540000000006
PIQ,Canadian Grand Prix,2008,1:18.505,1:18.393,\N,1.5960000000000036,1.3590000000000089,2.074860000000001
BOU,Canadian Grand Prix,2008,1:18.916,\N,\N,2.007000000000005,4.2494800000000055,5.023149599999996
SUT,Canadian Grand Prix,2008,1:19.108,\N,\N,2.1990000000000123,4.447240000000008,5.224864800000006
FIS,Canadian Grand Prix,2008,1:19.165,\N,\N,2.2560000000000002,4.505949999999999,5.284748999999991
BUT,Canadian Grand Prix,2008,1:23.565,\N,\N,6.656000000000006,9.03795000000001,9.907389000000009
VET,Canadian Grand Prix,2008,\N,\N,\N,10.232,11.153270000000006,11.439877800000005
RAI,French Grand Prix,2008,1:15.133,1:15.161,1:16.449,0.10899999999999466,0.12000000000000455,0.0
MAS,French Grand Prix,2008,1:15.024,1:15.041,1:16.490,0.0,0.0,0.04099999999999682
HAM,French Grand Prix,2008,1:15.634,1:15.293,1:16.693,0.6099999999999994,0.25200000000000955,0.24399999999999977
ALO,French Grand Prix,2008,1:15.754,1:15.483,1:16.840,0.730000000000004,0.4420000000000073,0.39100000000000534
TRU,French Grand Prix,2008,1:15.521,1:15.362,1:16.920,0.4969999999999999,0.32099999999999795,0.47100000000000364
KOV,French Grand Prix,2008,1:15.965,1:15.639,1:16.944,0.9410000000000025,0.597999999999999,0.49500000000000455
KUB,French Grand Prix,2008,1:15.687,1:15.723,1:17.037,0.6629999999999967,0.6820000000000022,0.5880000000000081
WEB,French Grand Prix,2008,1:16.020,1:15.488,1:17.233,0.9959999999999951,0.44700000000000273,0.784000000000006
COU,French Grand Prix,2008,1:15.802,1:15.654,1:17.426,0.7779999999999916,0.6129999999999995,0.9770000000000039
GLO,French Grand Prix,2008,1:15.727,1:15.558,1:17.596,0.703000000000003,0.5169999999999959,1.1470000000000056
PIQ,French Grand Prix,2008,1:15.848,1:15.770,\N,0.8239999999999981,0.7289999999999992,0.8363999999999976
HEI,French Grand Prix,2008,1:16.006,1:15.786,\N,0.9819999999999993,0.7450000000000045,0.852720000000005
VET,French Grand Prix,2008,1:15.918,1:15.816,\N,0.8940000000000055,0.7750000000000057,0.8833200000000119
BOU,French Grand Prix,2008,1:16.072,1:16.045,\N,1.0480000000000018,1.0040000000000049,1.1169000000000011
ROS,French Grand Prix,2008,1:16.085,1:16.235,\N,1.061000000000007,1.1940000000000026,1.310699999999997
NAK,French Grand Prix,2008,1:16.243,\N,\N,1.218999999999994,3.489289999999997,3.6518957999999913
BUT,French Grand Prix,2008,1:16.306,\N,\N,1.2819999999999965,3.5541800000000023,3.7180836
BAR,French Grand Prix,2008,1:16.330,\N,\N,1.3059999999999974,3.5789000000000044,3.74329800000001
FIS,French Grand Prix,2008,1:16.971,\N,\N,1.9470000000000027,4.239130000000003,4.416732600000003
SUT,French Grand Prix,2008,1:17.053,\N,\N,2.0289999999999964,4.323589999999996,4.502881799999997
KOV,British Grand Prix,2008,1:19.957,1:19.597,1:21.049,0.0,0.060000000000002274,0.0
WEB,British Grand Prix,2008,1:20.982,1:19.710,1:21.554,1.0250000000000057,0.17300000000000182,0.5049999999999955
RAI,British Grand Prix,2008,1:20.370,1:19.971,1:21.706,0.4130000000000109,0.4339999999999975,0.6569999999999965
HAM,British Grand Prix,2008,1:20.288,1:19.537,1:21.835,0.33100000000000307,0.0,0.7860000000000014
HEI,British Grand Prix,2008,1:21.022,1:19.802,1:21.873,1.0649999999999977,0.26499999999998636,0.8239999999999981
ALO,British Grand Prix,2008,1:20.998,1:19.992,1:22.029,1.041000000000011,0.4549999999999983,0.9799999999999898
PIQ,British Grand Prix,2008,1:20.818,1:20.115,1:22.491,0.8610000000000042,0.5779999999999887,1.441999999999993
VET,British Grand Prix,2008,1:20.318,1:20.109,1:23.251,0.3610000000000042,0.5720000000000027,2.201999999999998
MAS,British Grand Prix,2008,1:20.676,1:20.086,1:23.305,0.7190000000000083,0.5489999999999924,2.2560000000000002
KUB,British Grand Prix,2008,1:20.444,1:19.788,\N,0.487000000000009,0.25099999999999056,0.3347599999999886
COU,British Grand Prix,2008,1:21.224,1:20.174,\N,1.2670000000000101,0.6370000000000005,0.7284800000000047
GLO,British Grand Prix,2008,1:20.893,1:20.274,\N,0.936000000000007,0.7369999999999948,0.8304799999999943
BOU,British Grand Prix,2008,1:20.584,1:20.531,\N,0.6270000000000095,0.9939999999999998,1.0926199999999966
TRU,British Grand Prix,2008,1:21.145,1:20.601,\N,1.1880000000000024,1.063999999999993,1.1640199999999936
NAK,British Grand Prix,2008,1:21.407,1:21.112,\N,1.4500000000000028,1.5749999999999886,1.6852399999999932
BAR,British Grand Prix,2008,1:21.512,\N,\N,1.5550000000000068,4.420360000000002,4.587507200000005
BUT,British Grand Prix,2008,1:21.631,\N,\N,1.6740000000000066,4.542929999999998,4.712528599999999
ROS,British Grand Prix,2008,1:21.668,\N,\N,1.7110000000000127,4.5810400000000016,4.751400799999999
SUT,British Grand Prix,2008,1:21.786,\N,\N,1.8290000000000077,4.7025799999999975,4.875371599999994
FIS,British Grand Prix,2008,1:21.885,\N,\N,1.9280000000000115,4.804550000000006,4.979381000000004
HAM,German Grand Prix,2008,1:15.218,1:14.603,1:15.666,0.29700000000001125,0.0,0.0
MAS,German Grand Prix,2008,1:14.921,1:14.747,1:15.859,0.0,0.14400000000000546,0.19299999999999784
KOV,German Grand Prix,2008,1:15.476,1:14.855,1:16.143,0.5550000000000068,0.25200000000000955,0.47700000000000387
TRU,German Grand Prix,2008,1:15.560,1:15.122,1:16.191,0.63900000000001,0.5190000000000055,0.5250000000000057
ALO,German Grand Prix,2008,1:15.917,1:14.943,1:16.385,0.9960000000000093,0.3400000000000034,0.7190000000000083
RAI,German Grand Prix,2008,1:15.201,1:14.949,1:16.389,0.28000000000000114,0.34600000000000364,0.722999999999999
KUB,German Grand Prix,2008,1:15.985,1:15.109,1:16.521,1.0640000000000072,0.5060000000000002,0.855000000000004
WEB,German Grand Prix,2008,1:15.900,1:15.481,1:17.014,0.9790000000000134,0.8780000000000001,1.347999999999999
VET,German Grand Prix,2008,1:15.532,1:15.420,1:17.244,0.6110000000000042,0.8170000000000073,1.578000000000003
COU,German Grand Prix,2008,1:15.975,1:15.338,1:17.503,1.054000000000002,0.7349999999999994,1.8370000000000033
GLO,German Grand Prix,2008,1:15.560,1:15.508,\N,0.63900000000001,0.9050000000000011,1.3521599999999978
HEI,German Grand Prix,2008,1:15.596,1:15.581,\N,0.6750000000000114,0.9780000000000086,1.426620000000014
ROS,German Grand Prix,2008,1:15.863,1:15.633,\N,0.9420000000000073,1.0300000000000011,1.4796599999999955
BUT,German Grand Prix,2008,1:15.993,1:15.701,\N,1.0720000000000027,1.097999999999999,1.5490199999999987
BOU,German Grand Prix,2008,1:15.927,1:15.858,\N,1.0060000000000002,1.2550000000000097,1.7091600000000113
NAK,German Grand Prix,2008,1:16.083,\N,\N,1.1620000000000061,3.7624899999999997,4.266799800000001
PIQ,German Grand Prix,2008,1:16.189,\N,\N,1.2680000000000007,3.8716699999999946,4.378163399999991
BAR,German Grand Prix,2008,1:16.246,\N,\N,1.3250000000000028,3.9303799999999995,4.438047600000004
SUT,German Grand Prix,2008,1:16.657,\N,\N,1.7360000000000042,4.353710000000007,4.869844200000003
FIS,German Grand Prix,2008,1:16.963,\N,\N,2.0420000000000016,4.668890000000005,5.1913278000000105
HAM,Hungarian Grand Prix,2008,1:19.376,1:19.473,1:20.899,0.0,0.40500000000000114,0.0
KOV,Hungarian Grand Prix,2008,1:19.945,1:19.480,1:21.140,0.5689999999999884,0.41200000000000614,0.24099999999999966
MAS,Hungarian Grand Prix,2008,1:19.578,1:19.068,1:21.191,0.20199999999999818,0.0,0.2920000000000016
KUB,Hungarian Grand Prix,2008,1:20.053,1:19.776,1:21.281,0.6769999999999925,0.7079999999999984,0.382000000000005
GLO,Hungarian Grand Prix,2008,1:19.980,1:19.246,1:21.326,0.6039999999999992,0.17799999999999727,0.4269999999999925
RAI,Hungarian Grand Prix,2008,1:20.006,1:19.546,1:21.516,0.6299999999999955,0.47799999999999443,0.6169999999999902
ALO,Hungarian Grand Prix,2008,1:20.229,1:19.816,1:21.698,0.8529999999999944,0.7480000000000047,0.7990000000000066
WEB,Hungarian Grand Prix,2008,1:20.073,1:20.046,1:21.732,0.6970000000000027,0.9779999999999944,0.8329999999999984
TRU,Hungarian Grand Prix,2008,1:19.942,1:19.486,1:21.767,0.5660000000000025,0.41800000000000637,0.867999999999995
PIQ,Hungarian Grand Prix,2008,1:20.583,1:20.131,1:22.371,1.2069999999999936,1.0630000000000024,1.4719999999999942
VET,Hungarian Grand Prix,2008,1:20.157,1:20.144,\N,0.7809999999999917,1.0760000000000076,0.8478800000000035
BUT,Hungarian Grand Prix,2008,1:20.888,1:20.332,\N,1.5120000000000005,1.2639999999999958,1.0396399999999915
COU,Hungarian Grand Prix,2008,1:20.505,1:20.502,\N,1.1289999999999907,1.4339999999999975,1.2130399999999923
BOU,Hungarian Grand Prix,2008,1:20.640,1:20.963,\N,1.2639999999999958,1.894999999999996,1.68325999999999
ROS,Hungarian Grand Prix,2008,1:20.748,\N,\N,1.3719999999999999,4.102440000000016,3.9348488000000117
HEI,Hungarian Grand Prix,2008,1:21.045,\N,\N,1.668999999999997,4.408350000000013,4.246877000000012
NAK,Hungarian Grand Prix,2008,1:21.085,\N,\N,1.7090000000000032,4.449550000000016,4.28890100000001
BAR,Hungarian Grand Prix,2008,1:21.332,\N,\N,1.9559999999999889,4.703959999999995,4.5483991999999915
FIS,Hungarian Grand Prix,2008,1:21.670,\N,\N,2.293999999999997,5.05210000000001,4.903502000000003
SUT,Hungarian Grand Prix,2008,1:22.113,\N,\N,2.7369999999999948,5.508390000000006,5.3689178000000055
MAS,European Grand Prix,2008,1:38.176,1:37.859,1:38.989,0.22799999999999443,0.017000000000010118,0.0
HAM,European Grand Prix,2008,1:38.464,1:37.954,1:39.199,0.5159999999999911,0.11200000000000898,0.20999999999999375
KUB,European Grand Prix,2008,1:38.347,1:38.050,1:39.392,0.3990000000000009,0.2079999999999984,0.4029999999999916
RAI,European Grand Prix,2008,1:38.703,1:38.229,1:39.488,0.7549999999999955,0.38700000000000045,0.4989999999999952
KOV,European Grand Prix,2008,1:38.656,1:38.120,1:39.937,0.7079999999999984,0.2780000000000058,0.9479999999999933
VET,European Grand Prix,2008,1:38.141,1:37.842,1:40.142,0.19299999999998363,0.0,1.1529999999999916
TRU,European Grand Prix,2008,1:37.948,1:37.928,1:40.309,0.0,0.08599999999999852,1.3199999999999932
HEI,European Grand Prix,2008,1:38.738,1:37.859,1:40.631,0.789999999999992,0.017000000000010118,1.641999999999996
ROS,European Grand Prix,2008,1:38.595,1:38.336,1:40.721,0.6469999999999914,0.4939999999999998,1.7319999999999993
BOU,European Grand Prix,2008,1:38.622,1:38.417,1:40.750,0.6739999999999924,0.5750000000000028,1.7609999999999957
